Name,Year,Theme,Theme_Group,Category,Pieces,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price,Theme_ID,Theme_Group_ID,Category_ID,Age_of_Set,Price_per_Piece,Age_to_Price_Ratio,Theme_Quantity_Interaction,Price_Elasticity,Profit_Margin,Relative_Quantity,Lag_Total_Quantity,Lag_Current_Price
Ford Mustang,2019,Creator Expert,Model making,Normal,1471.0,15100.0,4.5,169.99,4.0,130.0,9,6.0,2,5.0,0.1155608429639701,0.029413494911465377,24.0,0.7647508676980999,-39.99000000000001,0.00012147347323028334,81.0,258.3622
NASA Apollo 11 Lunar Lander,2019,Creator Expert,Model making,Normal,1087.0,18817.0,4.4,99.99,19.0,85.0,9,6.0,2,5.0,0.09198712051517939,0.05000500050005001,114.0,0.8500850085008501,-14.989999999999995,0.0005769989978438459,4.0,130.0
Gingerbread House,2019,Creator Expert,Model making,Normal,1477.0,14741.0,4.2,99.99,57.0,127.0,9,6.0,2,5.0,0.0676980365605958,0.05000500050005001,342.0,1.2701270127012703,27.010000000000005,0.0017309969935315375,19.0,85.0
Harley-Davidson Fat Boy,2019,Creator Expert,Model making,Normal,1023.0,7107.0,4.2,99.99,19.0,111.99,9,6.0,2,5.0,0.09774193548387096,0.05000500050005001,114.0,1.12001200120012,12.0,0.0005769989978438459,57.0,127.0
Woody & RC,2019,Disney,Licensed,Normal,69.0,4402.0,3.7,9.99,29.0,14.95,11,4.0,2,5.0,0.14478260869565218,0.5005005005005005,116.0,1.4964964964964964,4.959999999999999,0.0008806826809195542,19.0,111.99
Duke Caboom's Stunt Show,2019,Disney,Licensed,Normal,120.0,2437.0,3.6,19.99,5.0,14.5849,11,4.0,2,5.0,0.16658333333333333,0.25012506253126565,20.0,0.7296098049024512,-5.405099999999999,0.00015184184153785418,29.0,14.95
Buzz and Bo Peep's Playground Adventure,2019,Disney,Licensed,Normal,139.0,2031.0,3.6,24.99,6.0,22.4108,11,4.0,2,5.0,0.1797841726618705,0.20008003201280514,24.0,0.8967907162865146,-2.5792,0.000182210209845425,5.0,14.5849
RV Vacation,2019,Disney,Licensed,Normal,178.0,2579.0,3.6,34.99,4.0,29.212,11,4.0,2,5.0,0.1965730337078652,0.14289797084881395,16.0,0.8348671048871106,-5.778000000000002,0.00012147347323028334,6.0,22.4108
Buzz & Woody's Carnival Mania!,2019,Disney,Licensed,Normal,230.0,2471.0,3.6,49.99,12.0,30.0,11,4.0,2,5.0,0.21734782608695652,0.10002000400080016,48.0,0.6001200240048009,-19.990000000000002,0.00036442041969085,4.0,29.212
Carnival Thrill Coaster,2019,Disney,Licensed,Normal,98.0,2792.0,3.3,19.99,7.0,25.0,11,4.0,2,5.0,0.20397959183673467,0.25012506253126565,28.0,1.2506253126563283,5.010000000000002,0.00021257857815299585,12.0,30.0
Creative Fun,2019,Duplo,Pre-school,Normal,120.0,238.0,0.0,39.99,4.0,37.3762,13,8.0,2,5.0,0.33325,0.1250312578144536,32.0,0.9346386596649161,-2.613800000000005,0.00012147347323028334,7.0,25.0
Mickey's Vacation House,2019,Duplo,Pre-school,Normal,57.0,363.0,0.0,49.99,1.0,65.655,13,8.0,2,5.0,0.8770175438596491,0.10002000400080016,8.0,1.313362672534507,15.665,3.0368368307570834e-05,4.0,37.3762
